phi std_phi theta std_theta
---
13.084 2.223 116.092 1.960
14.867 2.090 117.147 1.748
16.231 2.552 117.039 2.411
17.698 2.382 117.975 1.885
19.054 2.711 118.167 1.898
20.737 2.453 118.884 1.848
22.719 2.247 119.612 2.218
24.375 2.494 119.520 1.916
26.454 2.499 120.031 2.330
27.770 2.546 120.257 2.377
30.111 2.213 121.254 2.069
31.954 2.677 120.850 1.851
34.200 2.803 121.566 2.127
36.181 2.417 122.147 2.081
39.126 2.258 121.728 2.223
41.222 2.444 122.013 2.322
44.383 1.996 122.257 2.348
45.624 2.446 122.931 2.156
48.059 2.294 123.127 2.950
50.516 1.953 123.248 2.243
53.072 1.962 123.295 2.388
55.128 1.759 123.059 2.492
57.723 1.887 122.817 2.299
59.994 1.761 123.123 2.737
62.467 1.185 123.282 2.356
64.788 1.559 122.685 2.667
67.153 1.483 122.320 2.641
69.432 1.361 121.821 2.481
71.901 1.244 121.611 2.212
73.796 1.282 120.844 2.383
75.980 1.309 120.870 1.943
78.282 1.438 120.870 3.056
---
12.740 2.910 115.110 1.835
14.847 2.084 115.107 1.833
16.039 2.241 115.657 2.164
17.446 2.624 116.215 1.941
18.421 2.060 117.091 2.260
20.808 2.261 117.373 2.278
21.575 2.146 117.835 2.077
24.352 2.388 118.131 2.206
26.260 2.459 118.636 2.264
27.977 2.486 118.907 2.414
30.214 2.633 118.910 2.411
32.625 2.292 119.487 2.368
33.901 2.693 120.105 2.065
36.550 2.603 120.144 2.603
39.475 2.217 120.235 2.063
41.370 2.364 120.689 2.202
43.153 2.136 121.015 2.474
45.874 2.318 120.658 2.068
47.723 2.121 121.696 2.594
50.586 1.891 121.273 2.703
53.119 1.894 121.160 2.458
55.178 1.618 121.557 2.707
57.672 1.880 121.074 2.270
60.152 1.687 121.104 2.390
62.769 1.631 120.893 2.722
64.874 1.681 120.429 2.513
67.112 1.368 120.611 2.249
69.383 1.520 120.754 2.761
71.534 1.394 120.373 2.648
74.035 1.318 119.800 2.356
75.971 1.314 119.342 2.499
78.187 1.770 119.470 2.342
---
12.583 1.756 113.277 2.274
