phi std_phi theta std_theta
---
-79.574 157.619 45.688 1.982
6.676 176.618 45.093 1.971
80.523 156.843 43.245 1.915
137.744 107.897 42.651 2.102
150.726 85.680 41.641 2.054
166.599 36.616 40.738 2.041
166.941 4.143 39.827 1.932
164.483 4.051 38.536 1.922
160.770 4.707 37.787 1.873
157.138 4.840 37.298 1.744
153.539 4.629 36.953 2.182
149.978 4.500 35.715 2.041
145.665 4.161 35.730 2.311
142.059 4.616 35.310 2.351
137.500 3.828 35.292 2.578
133.923 4.340 34.845 2.868
129.976 3.603 35.171 2.507
125.284 3.057 35.306 2.624
120.856 2.975 35.772 2.764
117.148 2.571 36.866 2.762
113.376 2.243 36.724 2.567
109.819 1.852 37.725 2.793
106.646 1.809 38.121 2.731
103.217 2.367 39.262 3.151
100.334 1.237 39.881 2.972
97.612 1.162 40.750 2.327
95.019 0.853 42.230 2.789
92.587 0.992 43.158 2.814
90.857 0.587 44.707 3.181
90.177 0.002 43.626 0.376
-nan -nan -nan -nan
-nan -nan -nan -nan
---
-126.297 121.082 44.620 1.869
-55.075 167.550 43.594 1.941
2.169 176.759 42.437 1.979
92.216 149.800 41.334 1.859
116.651 129.461 40.391 1.801
145.862 91.986 39.371 1.928
158.451 59.671 38.334 1.714
166.121 4.567 37.546 1.863
162.731 4.638 36.293 1.870
158.971 4.556 35.560 2.044
154.679 4.703 34.797 2.106
150.411 4.548 34.118 2.244
146.980 4.561 33.573 2.076
142.260 4.187 33.231 2.326
137.670 4.300 33.256 2.186
133.249 4.310 33.316 2.689
129.361 4.145 33.069 2.649
124.413 3.368 33.474 2.575
120.382 3.227 33.759 2.680
115.614 2.640 34.567 2.475
111.881 2.350 35.475 2.864
108.209 1.971 36.149 2.775
104.407 1.624 37.346 2.617
101.273 1.497 37.703 2.957
98.256 1.215 38.906 2.501
95.562 1.150 39.896 3.007
92.691 0.923 41.695 2.829
90.992 0.710 41.832 2.946
90.228 0.103 44.635 1.140
-nan -nan -nan -nan
82.618 1.200 45.724 2.584
81.937 1.895 47.341 4.094
---
-147.542 91.481 43.633 1.854
-125.398 121.470 42.376 2.085
-70.804 161.371 41.250 1.899
-3.866 176.634 40.332 1.886
50.061 168.735 38.971 1.741
107.783 136.238 38.079 1.807
150.212 82.574 36.897 1.847
165.068 32.275 35.574 1.691
161.799 32.736 34.452 2.222
160.295 4.644 33.574 1.962
157.580 5.819 32.656 2.105
151.637 4.942 32.632 2.005
147.917 5.204 31.607 2.090
142.993 5.143 31.384 2.502
138.848 5.349 30.956 2.701
134.130 4.415 30.625 2.359
127.736 3.990 31.439 2.736
123.372 3.511 31.430 2.810
119.372 3.568 31.512 2.786
114.411 2.997 32.441 2.865
110.138 2.171 33.231 3.064
106.008 2.282 34.451 3.066
102.496 1.364 35.605 2.658
99.303 1.357 36.023 3.034
95.953 1.245 37.392 2.900
93.185 1.128 38.673 2.820
91.139 0.716 39.993 2.913
90.162 0.000 40.212 0.000
-nan -nan -nan -nan
85.089 2.239 42.346 0.029
82.030 2.152 44.025 2.062
80.472 1.470 45.760 2.525
---
-171.083 3.308 42.756 1.972
-155.582 76.089 41.302 1.843
-122.924 123.316 40.551 1.791
-56.437 166.891 38.890 1.678
13.914 175.373 38.002 1.429
99.666 144.382 36.718 2.018
119.158 126.380 35.342 1.939
154.584 71.003 34.263 1.911
161.281 44.532 32.645 1.796
161.864 5.803 31.861 1.857
157.970 6.079 31.108 2.119
152.815 4.885 30.672 2.013
148.585 6.006 29.531 2.182
143.504 5.344 29.008 2.211
137.633 5.039 28.952 2.491
133.107 4.420 28.718 2.574
127.504 4.615 29.079 2.755
122.507 4.150 29.367 3.099
117.224 3.515 29.995 3.076
112.970 3.015 30.132 3.160
108.422 2.059 31.084 2.731
103.813 1.843 32.367 3.170
100.124 1.568 33.544 3.184
96.418 1.437 34.974 3.256
93.454 1.252 36.110 2.854
91.102 0.734 38.048 3.002
90.121 0.078 36.249 1.676
-nan -nan -nan -nan
82.747 0.955 41.286 0.213
82.282 2.551 42.688 2.088
79.718 1.885 43.995 2.344
77.993 1.748 45.411 2.462
---
-168.428 4.155 42.004 1.638
-170.325 3.844 40.337 1.941
-153.376 78.767 39.144 2.069
-109.069 135.791 37.914 1.999
-61.485 164.309 36.700 1.707
-4.447 175.839 34.824 2.061
88.973 150.714 33.588 1.573
126.335 116.551 32.284 1.733
157.541 60.163 31.305 1.722
159.366 40.357 30.376 1.958
160.646 6.320 28.683 1.903
155.922 6.823 28.123 2.260
150.199 6.582 27.522 2.379
144.596 5.348 26.826 2.177
138.680 5.564 26.601 2.514
134.096 5.724 25.869 2.566
126.312 6.563 26.655 2.974
121.468 3.994 27.108 2.545
115.596 3.373 27.790 3.231
110.590 3.038 28.445 3.191
105.810 2.062 29.464 3.075
101.019 1.897 30.553 3.353
97.461 1.518 31.707 2.931
93.999 1.433 32.670 3.112
91.308 0.972 34.350 3.159
90.235 0.157 36.336 1.292
-nan -nan -nan -nan
-nan -nan -nan -nan
80.397 1.541 39.843 3.177
78.686 2.107 41.193 2.782
77.353 1.949 42.849 2.846
75.490 1.819 44.367 3.349
---
-165.183 4.130 41.075 1.936
-167.510 4.071 39.509 1.786
-168.932 4.252 38.508 2.049
-146.922 89.706 36.967 1.881
-127.349 117.849 35.212 1.753
-34.312 171.177 33.849 1.722
3.961 174.965 32.608 1.929
72.453 158.543 30.538 1.717
122.817 120.938 29.807 2.050
143.554 88.844 27.874 1.677
161.925 28.084 26.765 1.844
157.324 6.757 25.948 1.598
151.529 7.803 25.139 2.188
143.755 19.850 24.366 2.931
138.932 6.325 24.353 2.250
132.795 6.316 24.074 2.822
127.114 5.400 23.905 2.676
119.829 4.522 25.083 3.095
113.773 5.068 25.214 3.576
107.970 4.248 26.359 3.322
103.422 2.484 26.794 3.435
98.416 1.915 28.673 3.060
94.230 1.563 30.207 3.009
91.488 1.040 31.314 2.881
90.270 0.184 31.653 1.131
-nan -nan -nan -nan
82.533 0.753 36.677 1.336
79.865 2.648 37.444 2.688
78.291 1.824 39.226 2.717
76.162 2.017 40.695 2.563
74.513 1.767 41.828 2.839
73.089 2.132 43.652 3.468
---
-162.755 4.080 40.065 1.943
-164.997 3.928 38.571 2.087
-167.101 4.781 37.166 1.963
-167.498 5.240 35.454 1.956
-147.063 87.421 34.071 1.852
-118.300 126.140 32.626 1.683
-41.249 169.871 30.874 1.692
11.996 174.229 29.426 1.700
69.042 157.994 27.740 1.565
138.535 99.679 26.232 1.622
149.674 68.826 25.073 1.741
158.767 27.660 23.594 2.036
154.554 8.282 22.929 1.876
148.226 7.852 22.007 2.307
140.221 7.923 21.791 2.636
131.624 15.706 21.623 2.994
125.312 6.164 21.620 2.881
117.570 4.776 22.434 2.901
110.777 3.289 23.592 2.922
105.329 3.100 24.256 3.350
99.940 2.314 25.416 3.544
94.984 1.757 27.083 3.325
91.777 1.115 28.941 3.183
90.455 0.000 34.382 0.000
-nan -nan -nan -nan
79.933 2.802 32.093 1.832
79.257 3.061 35.320 3.407
76.397 2.259 36.538 2.779
74.851 2.249 38.498 2.702
72.877 2.165 40.379 2.575
71.447 2.695 41.126 2.911
69.916 1.772 42.457 2.537
---
-159.577 4.263 39.615 2.177
-160.882 4.243 37.807 1.830
-162.892 5.069 35.839 1.923
-164.880 5.556 34.621 2.099
-155.907 60.239 32.757 1.919
-147.835 84.530 31.013 1.688
-122.391 120.682 29.239 1.929
-48.061 166.868 27.683 1.736
3.311 173.902 25.891 1.680
78.653 153.516 24.188 1.530
121.188 117.233 22.984 1.740
144.790 77.340 21.241 1.793
154.148 27.338 20.247 2.139
148.832 8.728 19.607 2.130
139.696 26.800 19.119 2.258
131.809 8.287 19.247 2.745
124.362 8.070 19.246 3.040
116.359 5.213 19.550 3.089
108.350 4.297 21.049 3.536
101.485 3.428 21.946 3.233
95.887 2.132 23.939 3.252
91.997 1.312 25.202 3.315
-nan -nan -nan -nan
77.669 0.000 30.606 0.000
78.717 2.375 30.502 2.936
77.584 3.404 32.436 2.634
75.835 2.624 34.352 2.648
73.459 2.759 35.269 2.499
71.339 2.233 37.422 2.739
69.491 2.862 38.523 2.455
68.318 2.400 40.855 2.550
66.585 1.849 42.601 2.690
---
-156.692 3.822 38.972 2.053
-157.679 3.793 37.109 2.089
-159.680 4.845 35.552 2.284
-161.171 5.801 33.694 1.716
-161.586 29.871 31.637 2.129
-163.437 28.592 29.946 1.927
-157.867 57.032 28.319 1.633
-131.625 108.886 26.200 1.655
-42.681 167.523 23.957 1.559
-12.383 172.287 22.665 1.577
93.246 142.982 20.995 1.442
115.715 121.326 19.176 1.506
128.333 97.646 17.793 1.765
145.089 41.463 17.277 2.031
142.508 10.242 16.457 2.467
132.516 9.154 16.110 2.816
122.255 7.567 16.437 2.929
113.013 5.978 17.488 3.450
104.342 3.548 18.451 3.325
97.306 2.818 19.709 3.667
92.383 1.685 21.459 3.634
90.408 0.126 22.589 0.594
79.036 1.763 24.730 1.318
78.140 3.671 28.274 2.968
76.155 3.058 29.334 2.617
73.653 3.511 31.013 2.693
70.997 2.464 33.053 2.507
69.433 2.482 34.983 2.458
67.994 2.663 36.896 2.841
66.840 3.436 38.791 2.728
64.880 2.227 40.108 2.691
63.740 2.428 41.647 2.575
---
-153.260 4.045 38.255 2.070
-154.983 4.598 36.043 2.063
-154.979 5.092 34.687 2.133
-156.707 5.919 32.991 2.237
-158.282 5.786 31.085 1.894
-162.297 5.538 28.627 1.750
-159.885 37.863 26.842 2.046
-142.966 85.921 24.704 1.744
-118.004 120.983 22.810 1.663
-69.199 156.821 20.738 1.430
13.407 170.659 19.105 1.352
76.489 152.334 16.999 1.319
128.458 101.729 15.635 1.528
144.447 51.511 14.641 2.319
139.970 34.834 14.109 2.569
130.432 25.326 13.601 2.712
118.251 7.809 14.656 3.167
107.962 5.963 14.833 3.600
98.831 3.662 16.173 3.473
92.941 1.957 18.016 3.868
90.466 0.091 18.982 0.582
-nan -nan -nan -nan
76.364 3.568 23.843 3.239
74.106 3.693 25.673 2.955
71.277 3.170 28.327 2.637
69.074 3.514 30.668 3.376
67.525 3.214 32.727 2.666
65.366 3.026 33.878 2.913
64.112 3.019 35.978 2.822
62.784 2.539 37.747 2.710
61.316 2.418 39.619 2.552
60.384 2.218 40.985 2.533
---
-149.525 3.754 37.945 2.127
