phi std_phi theta std_theta
---
13.736 176.796 130.231 1.902
83.411 156.319 130.816 2.118
112.824 135.454 132.230 1.863
158.652 72.164 132.385 1.824
167.120 43.705 133.878 1.989
169.832 3.946 134.149 1.889
167.803 3.738 135.471 2.141
165.022 3.748 136.032 2.112
162.502 3.837 136.880 2.010
160.530 3.630 137.836 2.200
157.394 4.051 137.659 2.203
153.664 3.800 138.292 2.250
150.649 3.929 138.887 1.634
147.551 3.672 139.293 2.346
143.577 3.647 139.848 2.212
140.736 3.386 139.954 1.913
136.423 3.572 140.062 2.343
132.628 2.817 139.806 2.341
130.071 3.715 139.789 2.387
126.073 2.748 139.294 2.369
122.853 2.541 139.221 2.293
119.803 2.508 138.883 2.377
116.218 1.959 138.470 2.478
113.673 1.921 138.310 2.736
110.229 1.902 137.589 2.645
107.158 1.296 136.790 2.721
104.431 1.511 135.735 2.491
101.895 1.129 134.757 2.319
99.846 0.918 134.554 2.503
97.235 0.920 133.416 2.073
95.238 0.790 132.399 2.399
93.097 0.853 131.638 2.203
---
-61.871 165.632 131.349 1.902
-3.290 177.389 131.797 1.807
61.720 165.351 133.014 1.869
118.741 128.828 133.898 1.885
158.058 72.920 134.747 2.025
161.158 59.746 135.595 1.862
169.617 3.524 136.519 1.929
166.420 3.463 137.101 2.076
164.687 4.053 138.447 1.742
161.407 4.388 139.368 2.107
157.320 4.426 139.561 1.865
155.598 4.166 140.317 2.142
150.689 4.509 140.293 2.317
147.191 4.287 140.734 2.178
143.710 3.984 141.480 2.212
141.399 4.164 141.892 2.291
136.836 3.346 142.108 2.430
133.073 2.934 141.995 2.168
129.460 2.922 141.589 2.314
125.851 3.069 141.495 2.589
121.617 2.106 140.995 2.578
118.790 2.297 140.904 2.461
114.943 2.300 140.294 2.799
111.990 1.840 139.841 2.636
108.814 1.862 138.850 2.737
105.664 1.530 138.285 2.915
102.837 1.331 137.676 2.323
100.365 2.337 136.583 3.257
97.941 1.063 135.858 2.040
95.722 0.954 135.162 2.500
93.526 0.858 133.553 2.554
91.373 1.117 132.933 2.559
---
-123.286 125.670 131.496 1.824
-95.276 148.865 132.912 2.133
-11.586 177.139 133.629 1.740
74.041 159.858 134.697 1.984
123.021 125.461 135.604 1.887
164.387 55.211 136.413 1.810
161.415 54.634 137.411 1.750
168.716 3.781 138.481 1.820
165.776 4.467 139.352 1.871
162.416 3.913 140.227 1.869
159.434 4.583 141.445 1.967
156.149 4.445 141.763 2.150
152.999 4.998 142.513 2.262
148.493 4.291 142.803 2.050
144.699 4.043 142.936 2.390
140.926 3.576 143.685 1.928
137.156 3.636 143.187 2.555
133.005 3.006 143.628 2.617
128.990 2.980 143.238 2.590
125.234 3.285 143.308 2.461
121.419 2.728 143.321 2.736
117.607 2.604 142.066 2.585
114.205 2.004 141.781 2.498
110.061 3.717 140.789 2.557
107.351 1.817 140.176 2.848
104.230 1.508 139.844 2.999
101.130 1.235 138.859 2.926
98.821 1.166 137.687 2.912
96.072 1.007 136.510 2.935
93.631 1.627 136.056 2.834
91.548 0.781 134.588 2.598
90.419 0.262 134.959 2.046
---
-166.582 49.680 132.572 1.687
-115.441 132.801 133.658 1.928
-109.895 137.467 135.056 2.077
7.628 176.377 135.416 1.843
79.785 157.580 136.793 2.119
132.212 115.992 137.870 1.682
147.882 88.941 138.901 1.862
158.237 62.609 140.305 1.928
167.280 4.786 140.780 2.056
163.941 3.897 141.965 1.891
161.913 4.385 142.604 2.009
156.905 4.999 143.027 2.400
153.786 4.716 143.840 1.976
149.093 4.557 144.633 1.925
145.811 4.302 145.323 2.469
141.553 4.478 145.278 2.624
136.964 4.110 145.343 2.382
132.973 4.093 145.305 2.726
128.668 3.337 145.615 2.610
124.634 3.203 145.344 2.650
120.139 2.817 144.488 2.782
116.598 2.393 144.561 2.672
112.426 2.236 143.569 2.810
108.897 1.731 142.543 3.011
105.407 1.664 141.689 3.054
102.123 2.284 141.302 2.712
99.203 1.234 140.181 3.064
96.522 1.136 138.983 3.022
93.902 1.041 137.606 2.472
91.720 0.818 136.817 2.810
90.489 0.327 134.782 2.408
-nan -nan -nan -nan
---
-166.716 41.720 133.551 1.990
-163.185 59.520 134.666 1.988
-136.517 109.625 135.619 2.154
-75.084 159.767 136.425 1.837
-2.615 176.427 137.731 1.731
32.580 173.666 138.923 2.008
112.678 134.107 140.025 2.004
156.556 71.012 141.487 1.787
162.813 49.309 142.597 1.818
162.283 34.349 143.491 1.893
162.895 5.321 144.426 1.805
159.114 4.839 145.267 2.164
154.742 4.831 145.869 1.889
150.997 4.872 146.791 2.081
146.148 5.036 147.048 2.265
141.940 5.033 147.501 2.441
137.625 5.291 147.407 2.968
132.968 4.217 147.707 2.542
128.114 3.840 147.408 2.733
123.732 3.510 147.373 2.657
119.715 3.255 146.952 2.626
114.788 2.740 145.855 2.934
110.907 2.379 145.386 2.930
107.015 1.993 144.594 2.728
103.599 1.825 143.847 3.028
100.040 1.352 142.325 3.055
97.279 1.182 141.731 3.046
94.106 1.741 139.987 3.032
91.752 0.947 139.162 3.095
90.497 0.434 138.468 2.755
-nan -nan -nan -nan
-nan -nan -nan -nan
---
-165.303 39.762 134.255 1.878
-166.718 40.159 135.338 1.958
-147.243 91.123 137.097 1.758
-137.856 106.823 137.747 1.742
-77.913 158.080 139.232 1.852
-15.816 175.646 140.232 1.972
80.947 155.957 141.529 1.819
114.363 131.912 142.738 1.628
160.195 61.661 144.027 1.914
165.202 33.841 145.159 1.921
164.449 5.362 146.298 2.061
160.688 5.278 146.990 1.731
155.510 4.876 147.893 1.955
151.228 5.635 148.598 2.183
147.541 5.711 149.447 2.141
142.767 5.496 149.702 2.489
137.747 5.060 149.764 2.643
131.706 4.626 149.549 2.830
127.323 4.386 149.361 2.595
122.719 3.779 149.436 2.771
117.769 3.251 148.577 2.615
113.779 2.875 148.223 3.051
109.129 2.260 147.061 2.934
104.635 1.832 145.625 2.836
101.244 2.100 144.926 2.859
97.814 1.399 144.018 2.666
94.779 1.162 143.171 2.486
92.051 0.996 141.239 3.086
90.561 0.327 140.349 2.473
-nan -nan -nan -nan
-nan -nan -nan -nan
83.493 1.347 136.588 2.495
---
-166.996 2.878 135.324 1.809
-168.439 3.888 136.595 1.562
-166.490 37.453 137.419 2.164
-152.312 80.016 139.035 1.841
-122.593 124.113 140.265 1.742
-91.074 149.471 141.570 2.059
-13.554 175.855 142.701 1.849
73.807 158.200 144.226 1.975
118.637 126.330 145.299 1.787
146.901 87.253 146.492 1.674
