phi std_phi theta std_theta
---
-79.008 1.601 120.996 2.141
-76.956 1.269 120.908 2.332
-74.971 1.433 121.175 2.031
-72.634 1.350 121.566 2.509
-70.457 1.817 121.770 2.367
-68.133 1.434 122.173 2.334
-65.832 1.449 122.633 2.546
-63.594 1.626 122.279 2.624
-61.132 1.660 122.643 2.450
-59.186 1.723 122.788 2.326
-56.645 1.868 122.742 2.341
-53.768 2.154 122.735 2.549
-51.642 2.185 122.843 2.477
-49.263 2.068 122.737 2.486
-46.851 2.227 122.709 2.827
-44.584 2.372 123.328 2.412
-42.203 2.462 122.159 2.458
-39.841 2.440 122.129 2.455
-37.338 2.496 122.087 1.966
-35.463 2.558 121.931 2.680
-33.253 2.675 121.172 2.137
-31.241 2.465 121.245 2.310
-29.084 3.086 120.498 1.893
-26.959 2.347 120.067 2.333
-24.990 2.560 119.618 2.322
-23.888 2.332 119.420 2.337
-21.443 2.387 118.678 2.160
-20.135 2.175 118.546 1.845
-18.433 2.254 118.093 2.214
-17.098 2.183 117.285 1.815
-14.767 2.012 117.043 2.093
-13.549 2.311 116.687 2.333
---
-78.661 1.287 118.657 2.404
-76.948 1.357 118.907 2.323
-74.700 1.112 119.075 2.079
-72.834 1.368 119.321 1.870
-70.529 1.358 120.276 2.505
-68.389 1.619 120.133 2.591
-66.002 1.282 120.533 2.314
-63.701 1.541 120.296 2.367
-61.465 1.595 120.727 2.484
-59.003 1.570 120.777 2.455
-56.381 2.010 121.165 2.499
-53.788 1.835 121.169 2.524
-51.463 2.239 121.406 2.383
-49.260 2.138 120.990 2.502
-47.059 2.155 120.633 2.312
-44.305 2.191 121.337 2.244
-42.088 2.358 121.048 2.260
-39.634 2.009 120.474 2.160
-37.807 2.516 120.035 2.396
-35.269 2.182 120.165 2.312
-33.421 2.741 119.565 2.150
-31.056 2.745 119.768 2.512
-28.934 2.465 119.072 2.297
-27.215 2.345 118.283 2.099
-25.160 2.460 118.462 1.623
-23.775 1.945 117.392 2.159
-21.748 2.208 117.420 2.204
-19.691 1.962 117.085 1.560
-18.336 2.166 116.727 1.766
-16.349 2.635 115.549 2.183
-15.040 2.444 115.696 1.784
-13.621 2.426 114.818 1.989
---
-79.290 1.613 116.865 3.010
-76.729 1.612 117.923 2.449
-74.670 1.398 118.580 1.798
-73.010 1.282 117.617 2.416
-70.226 1.338 118.072 2.534
-68.327 1.913 118.545 2.981
-65.850 1.426 118.632 2.273
-63.727 1.703 118.763 2.827
-61.115 1.617 119.311 2.563
-58.807 1.834 119.381 2.482
-56.628 1.937 119.362 2.967
-53.816 1.945 119.301 2.846
-51.768 1.990 119.563 2.202
-49.606 1.958 119.424 2.437
-46.881 2.613 118.797 4.357
-44.448 2.069 119.464 2.432
-42.325 2.277 119.191 2.403
-40.190 2.580 118.457 2.324
-37.475 2.288 118.721 2.687
-35.505 2.555 117.978 2.227
-33.434 2.683 118.015 2.315
-30.826 2.248 118.199 1.924
-29.104 2.447 117.057 2.019
-26.996 2.204 116.381 2.144
-25.445 2.437 116.206 2.228
-23.528 2.515 115.705 2.376
-22.184 2.388 115.202 2.296
-20.258 2.673 115.426 2.238
-18.466 2.318 114.370 2.077
-16.886 2.028 114.312 1.858
-15.194 2.157 113.601 1.804
-13.548 2.086 113.098 1.987
---
-78.766 1.018 115.274 2.295
-76.562 1.319 115.560 2.261
-74.679 1.097 116.136 2.332
-73.191 1.491 115.945 2.508
-70.718 1.212 115.948 2.503
-68.102 1.333 116.956 2.633
-65.611 1.575 116.883 2.723
-63.586 1.657 116.931 2.392
-61.015 1.730 118.090 2.312
-58.806 1.661 117.816 2.640
-56.537 1.692 117.105 2.664
-54.049 1.989 117.350 2.337
-51.610 2.122 117.673 2.513
-49.201 2.226 117.410 2.595
-46.696 2.060 117.304 2.603
-44.429 2.037 117.286 2.494
-42.001 2.195 116.859 2.457
-39.993 2.382 116.716 2.587
-37.362 2.345 116.892 2.316
-35.681 2.559 116.667 2.636
-33.293 2.462 116.018 2.357
-30.983 2.388 115.798 2.452
-28.626 2.489 115.453 2.216
-27.033 2.169 115.003 2.391
-25.424 2.756 114.273 2.234
-23.642 2.413 114.124 2.245
-21.503 2.087 113.927 2.385
-20.017 2.222 113.857 1.816
-18.584 2.108 113.215 2.457
-17.081 2.270 112.736 2.074
-15.149 2.286 112.115 1.962
-14.118 1.951 111.569 1.969
---
-79.128 1.559 113.012 2.778
-76.547 1.317 113.955 2.620
-74.743 1.104 114.012 2.334
-72.856 1.488 114.650 2.606
-70.205 1.181 114.726 2.452
-68.391 1.621 114.960 2.698
-66.083 1.487 115.637 2.535
-63.471 1.533 115.335 2.887
-61.146 1.757 115.328 2.654
-58.626 2.820 115.464 2.958
-56.504 1.749 115.447 2.257
-53.880 1.947 115.851 2.693
-51.547 1.908 115.569 2.738
-49.278 1.965 115.179 2.642
-46.618 2.112 115.443 2.695
-44.353 4.359 115.575 2.617
-42.116 2.298 115.328 2.447
-40.166 2.382 114.707 2.567
-38.107 2.372 114.405 2.269
-35.210 2.249 114.649 2.510
-32.955 2.216 114.928 2.420
-31.263 2.106 114.125 2.594
-29.004 1.992 113.803 2.591
-27.637 2.120 113.032 2.399
-25.959 2.268 113.317 2.346
-23.634 2.512 112.312 2.399
-22.217 2.235 111.925 2.389
-20.018 2.046 112.276 2.605
-18.235 2.251 111.241 2.380
-16.622 2.222 111.236 2.179
-15.798 2.012 110.454 2.140
-13.837 2.289 110.534 2.169
---
-78.774 1.439 111.217 2.820
-76.760 1.034 112.360 2.053
-74.731 1.219 111.770 2.839
-72.608 1.588 112.311 2.813
-70.476 1.453 112.790 2.576
-68.228 1.804 113.715 2.680
-65.982 1.419 113.093 2.312
-63.459 1.393 113.868 2.758
-61.294 1.838 113.447 2.844
-58.985 1.832 113.761 2.658
-56.135 1.775 114.090 2.543
-54.084 1.851 113.359 2.513
-51.968 1.887 113.622 2.647
-49.056 1.949 113.824 2.769
-47.007 2.723 113.417 2.800
-44.345 2.279 113.371 2.749
-42.529 2.449 113.222 2.610
-40.021 2.284 113.202 2.228
-37.813 2.353 112.799 3.012
-35.406 2.215 112.764 2.759
-33.445 2.651 112.164 2.299
-31.400 2.350 112.071 2.749
-29.289 2.187 111.975 2.372
-27.113 2.463 111.389 2.295
-24.886 2.415 110.731 1.994
-23.610 2.561 110.866 2.306
-21.810 1.950 110.665 2.353
-20.227 2.538 110.023 2.033
-17.960 2.350 109.727 2.630
-17.035 2.142 109.733 2.187
-15.163 2.117 108.545 2.324
-13.606 2.489 108.600 1.862
---
-79.079 1.467 109.674 2.571
-76.759 1.174 110.027 2.617
-74.436 1.098 110.673 2.622
-72.413 1.359 110.623 2.701
-70.457 1.394 110.612 2.666
-68.263 2.283 110.962 2.413
-65.857 1.953 111.696 3.036
-63.569 1.587 111.189 2.543
-61.295 1.655 111.814 2.687
-58.782 1.600 111.598 2.925
-56.222 1.625 111.884 2.752
-53.913 2.097 111.626 2.955
-51.900 1.749 112.046 2.830
-49.377 2.111 111.250 2.824
-46.675 2.091 111.730 2.559
-44.335 2.285 111.576 2.831
-42.007 2.066 111.171 2.430
-39.629 2.244 111.156 2.865
-37.555 2.260 110.978 2.646
-35.825 2.970 110.562 2.862
-33.499 2.400 110.497 2.559
-31.242 2.627 109.966 2.434
-29.087 2.155 110.465 2.748
-27.118 2.881 109.685 2.370
-25.575 2.306 108.920 2.333
-24.084 2.261 108.626 2.266
-21.508 2.464 108.466 2.712
-20.359 2.308 108.063 2.287
-18.522 2.266 108.302 2.093
-16.888 2.265 107.809 2.114
-15.038 2.292 107.853 2.050
-13.466 2.336 106.869 2.533
---
-78.939 1.232 107.500 2.483
-76.809 1.099 108.363 2.621
-74.676 1.195 108.757 2.623
-72.616 1.284 108.900 2.805
-70.201 1.563 109.200 3.009
-68.063 1.465 109.227 2.980
-65.919 1.318 109.362 2.655
-63.580 1.450 109.034 2.622
-60.968 1.717 109.354 2.817
-58.728 1.695 109.593 2.767
-56.323 2.242 109.956 3.526
-53.956 1.963 109.438 2.766
-51.577 2.096 109.481 3.033
-49.325 2.132 109.195 2.852
-47.174 2.183 109.376 2.940
-44.246 2.313 109.126 3.102
-42.098 1.966 108.993 2.807
-40.120 1.963 109.296 2.780
-37.343 2.291 108.440 2.816
-35.416 2.548 108.706 2.767
-33.458 2.600 108.676 2.777
-31.227 2.622 108.280 2.805
-29.225 2.607 108.192 2.756
-27.455 2.468 107.276 2.581
-25.174 1.991 106.826 2.186
-23.564 2.533 106.850 2.897
-21.948 2.216 107.128 2.233
-20.521 2.141 106.125 2.504
-17.935 2.345 106.373 2.430
-16.651 2.048 105.569 2.170
-15.292 2.338 105.052 2.191
-13.190 2.297 105.497 2.260
---
-79.023 1.611 105.647 2.825
-76.809 1.550 106.335 3.178
-74.601 1.236 106.469 2.760
-72.628 1.155 105.740 2.932
-70.329 1.278 106.457 2.740
-68.232 1.351 106.495 2.720
-65.928 1.492 106.914 2.756
-63.556 1.424 106.588 2.763
-61.167 1.686 107.881 2.661
-58.978 1.875 107.427 2.859
-56.432 2.639 107.643 2.942
-53.826 1.917 107.685 2.602
-51.780 2.112 107.421 2.974
-49.430 2.004 107.350 2.851
-46.833 2.348 107.577 2.818
-43.757 2.255 107.267 2.932
-42.263 2.203 106.886 2.690
-39.945 2.072 106.946 2.609
-37.249 2.229 107.163 2.756
-35.710 2.460 106.354 2.728
-33.258 2.522 105.770 2.676
-31.387 2.485 106.027 2.557
-29.180 2.568 106.104 2.480
-27.479 2.209 105.662 2.700
-25.457 2.262 105.249 2.612
-23.030 2.462 105.216 2.577
-21.658 2.325 105.050 2.316
-20.644 2.446 104.406 2.291
-18.751 2.330 104.488 2.068
-16.605 2.386 103.966 2.092
-15.047 2.430 103.865 2.303
-14.151 2.389 103.569 2.185
---
