phi std_phi theta std_theta
-133.086 78.286 111.283 13.311
-124.404 93.165 109.656 15.009
-121.357 98.668 110.468 14.350
-123.649 97.514 110.463 15.857
-116.605 109.753 108.591 16.927
-113.336 115.166 108.664 15.885
---
-90.061 35.292 109.206 13.380
-93.130 37.239 110.005 12.199
-92.132 42.371 109.304 14.338
-96.160 39.227 110.278 13.024
-96.115 44.792 110.524 13.241
-99.842 42.288 110.652 13.242
-103.223 38.022 111.080 12.631
-104.208 45.521 111.541 12.323
-106.357 43.727 110.873 13.764
-107.571 47.994 110.990 14.162
-108.245 51.007 110.555 15.273
-111.042 50.681 110.938 14.254
-110.959 57.419 111.892 12.199
-114.439 53.944 111.342 13.775
-116.670 55.573 111.207 13.662
-119.142 55.536 111.052 13.557
-122.249 54.375 110.954 13.756
-122.125 61.666 110.333 14.196
-126.654 56.444 110.456 13.383
-121.738 69.540 110.245 14.357
-126.166 65.644 110.338 14.677
-126.285 70.845 110.452 12.340
-128.648 71.411 108.405 15.222
-124.755 79.333 108.995 15.213
-130.647 75.322 109.999 13.809
-127.996 82.182 109.574 14.076
-122.413 92.540 109.393 14.261
-127.324 88.845 109.210 13.742
-124.697 95.051 107.212 16.170
-121.220 102.309 108.304 15.065
-125.399 98.290 107.604 16.216
-123.482 104.521 107.507 14.347
---
-91.388 32.577 108.068 12.840
-91.764 37.904 107.760 14.285
-92.082 43.651 107.904 13.290
-94.708 43.985 107.296 14.649
-96.412 43.477 107.994 14.850
-100.084 43.591 108.282 13.207
-103.067 38.656 109.037 13.976
-103.291 45.982 109.164 14.102
-104.986 46.751 108.987 13.849
-106.548 48.393 108.613 13.958
-108.832 49.740 109.398 12.934
-111.641 49.812 108.788 13.964
-115.211 47.109 109.351 12.827
-114.397 54.018 109.266 13.874
-117.906 54.395 109.308 12.118
-118.516 58.968 109.714 12.280
-120.849 59.177 108.935 13.544
-122.665 58.739 109.433 13.997
-124.443 60.220 108.786 13.946
-124.104 64.682 108.610 14.052
-125.192 67.586 108.400 13.799
-126.006 70.478 107.016 15.728
-129.120 70.819 107.860 13.264
-126.761 78.197 107.480 14.687
-130.207 74.066 107.479 12.314
-125.218 86.551 106.870 14.830
-136.005 71.099 107.208 13.366
-133.907 78.548 106.582 14.053
-128.863 88.850 106.575 15.217
-121.771 98.672 105.403 17.012
-120.985 103.535 105.919 15.427
-119.036 110.099 105.334 15.155
---
-90.693 36.090 105.260 13.063
-91.662 39.464 105.930 13.718
-93.681 37.738 105.696 13.603
-95.216 41.084 106.299 12.974
-95.794 45.172 106.588 13.560
-99.334 43.303 106.447 12.780
-102.477 41.381 106.411 13.619
-104.173 43.866 107.368 12.422
-105.796 45.028 106.260 13.741
-110.193 41.381 106.883 13.516
-111.130 45.285 106.505 13.658
-111.201 51.816 107.104 12.667
-115.138 48.149 107.553 11.703
-116.414 51.340 107.206 13.321
-117.856 53.027 106.849 13.989
-121.820 51.152 106.881 12.759
-121.527 57.246 106.737 13.334
-124.798 55.658 106.471 13.817
-126.586 58.348 106.607 12.686
-127.072 58.705 106.567 14.086
-127.753 62.174 105.844 14.154
-128.722 66.027 106.567 12.864
-127.975 71.557 105.681 13.747
-124.158 81.482 106.042 14.344
-128.146 78.042 105.468 13.827
-125.568 86.333 105.567 13.503
-129.143 84.603 105.378 14.078
-124.029 93.111 105.241 15.232
-120.776 98.410 104.070 16.092
-125.156 96.635 103.808 14.730
-118.435 106.070 105.320 14.876
-121.391 107.011 103.624 15.866
---
-90.201 35.419 103.891 13.139
-91.617 38.133 103.667 13.604
-93.659 40.687 104.747 11.913
-94.953 42.940 104.661 12.987
-97.286 42.407 103.740 12.728
-101.546 37.912 104.209 13.771
-103.415 40.267 104.698 12.682
-104.172 43.197 104.367 12.844
-107.619 40.454 104.594 13.660
-109.140 42.647 104.542 12.525
-110.395 47.426 105.100 13.001
-111.838 48.965 104.831 13.609
-112.433 53.974 105.131 13.551
-116.989 48.315 104.921 12.503
-118.286 52.069 104.433 13.490
-121.667 51.764 104.888 12.786
-120.303 58.656 104.850 13.920
-122.978 60.554 104.672 12.495
-124.560 60.824 104.380 13.864
-129.885 55.434 104.690 12.762
-125.389 69.340 105.231 12.994
-129.044 67.269 103.331 13.383
-129.109 70.194 104.256 12.798
-125.545 76.231 103.755 15.650
-130.613 75.213 103.521 13.619
-131.531 77.461 103.865 13.196
-129.994 80.037 102.918 14.970
-126.105 90.659 103.146 15.344
-128.093 91.035 102.169 15.276
-128.595 91.652 102.146 14.931
-128.637 94.464 102.397 14.365
-121.665 105.557 102.631 15.956
---
-90.551 34.501 101.453 12.368
-93.343 34.963 101.903 12.977
-95.094 35.179 101.607 13.700
-97.223 37.992 102.303 12.800
-99.035 37.324 102.538 12.535
-101.093 39.559 102.410 12.985
-101.867 45.826 102.684 12.544
-103.524 44.325 102.012 14.307
-106.253 43.427 102.685 12.815
-108.990 43.073 103.379 12.296
-109.146 49.451 103.388 12.606
-113.884 44.713 102.303 12.917
-114.678 47.704 103.002 13.172
-114.797 53.758 102.822 12.821
-118.946 53.028 102.820 12.158
-120.252 52.512 102.600 12.988
-123.061 53.754 103.097 13.219
-125.130 51.806 102.365 13.973
-125.507 58.210 102.285 13.085
-128.506 58.998 102.341 12.426
-124.533 68.348 102.202 13.879
-126.577 69.191 101.737 14.442
-128.090 70.562 101.579 13.853
-130.074 73.163 101.509 13.687
-127.075 80.081 102.019 14.795
-133.461 72.482 100.865 14.414
-127.449 87.471 101.102 14.141
-129.858 85.445 100.485 15.032
-118.003 101.923 100.588 17.401
-123.614 97.936 100.926 15.806
-123.917 100.384 99.972 15.086
-123.402 104.036 99.433 15.554
---
-91.205 33.739 99.606 12.480
-93.000 35.558 99.635 13.420
-93.563 39.713 99.735 12.266
-97.046 38.092 100.319 12.612
-97.569 41.856 99.508 13.297
-99.580 44.489 99.713 13.030
-102.053 42.923 100.097 12.106
-105.817 39.045 100.274 12.363
-107.446 42.627 100.066 12.560
-107.321 46.500 100.536 13.560
-112.398 41.001 100.991 12.273
-110.538 50.110 99.819 14.273
-114.603 49.557 100.230 12.702
-116.100 52.336 100.213 12.288
-118.801 52.106 100.890 11.239
-119.726 54.843 100.217 12.355
-123.545 52.463 100.374 13.251
-124.812 53.490 100.276 12.687
-124.872 60.758 99.588 14.019
-127.879 58.481 100.404 12.876
-130.161 58.380 100.040 13.249
-126.016 71.350 99.642 13.191
-131.587 65.157 100.111 13.389
-129.886 70.652 99.872 13.306
-132.150 70.821 99.347 13.567
-127.854 82.351 99.853 13.410
-130.722 80.708 98.967 14.329
-132.833 81.517 99.236 13.680
-127.664 89.614 97.934 16.353
-130.070 89.272 97.946 16.251
-120.963 104.451 99.032 14.587
-125.208 102.944 97.863 15.314
---
-92.437 32.777 97.662 12.322
-91.798 40.125 97.188 13.244
-93.516 39.463 97.672 12.951
-96.333 38.259 97.922 13.837
-99.074 38.319 97.891 13.272
-100.749 39.224 97.804 11.910
-103.355 38.910 98.438 12.531
-106.440 39.377 98.068 12.344
-105.572 44.957 98.195 12.889
-109.861 42.835 98.564 11.503
-111.033 45.515 97.599 12.774
-112.662 47.777 98.067 12.989
-117.223 41.945 98.146 12.428
-116.931 50.234 97.777 12.319
-120.064 48.759 98.420 12.265
-119.511 54.649 98.136 12.584
-120.618 58.660 97.722 13.113
-124.017 58.012 97.833 13.352
-126.354 57.146 97.742 14.003
-127.242 58.552 97.686 12.867
-129.683 60.242 98.045 12.827
-128.688 66.637 97.610 13.646
-126.670 73.398 97.101 14.053
-132.025 69.871 97.298 12.518
-129.033 77.164 97.081 14.631
-128.352 80.550 97.400 14.490
-132.476 77.580 97.380 13.928
-127.172 89.715 97.010 14.149
-128.440 88.725 96.186 15.063
-131.235 90.655 97.269 14.239
-125.496 97.618 95.746 15.785
-118.668 108.745 95.767 16.999
---
-90.173 36.921 95.946 12.736
-93.021 35.685 95.556 13.154
-94.605 37.702 95.596 12.701
-96.505 40.334 95.435 13.185
-98.399 40.833 95.037 13.076
-99.604 43.225 95.460 12.450
-103.031 40.747 95.076 12.616
-105.309 41.524 95.715 13.102
-105.077 47.637 95.385 13.762
-107.541 48.225 95.083 13.284
-110.458 46.714 95.202 13.199
-115.192 43.082 96.088 11.620
-114.888 47.478 95.626 12.678
-118.479 48.030 96.206 11.696
-120.015 47.194 95.540 13.188
-122.165 50.217 95.495 12.611
-122.718 55.053 96.093 12.371
-124.688 57.006 95.954 11.994
-127.613 55.086 95.793 12.903
-128.422 58.749 95.411 12.149
-129.076 61.514 95.393 13.443
-130.651 63.525 94.744 14.737
-126.942 71.737 96.220 14.016
-131.236 69.812 94.797 13.768
-131.090 74.022 95.095 13.762
-128.662 81.441 94.583 14.292
-129.259 82.416 95.352 13.775
-133.200 80.155 94.520 13.832
-126.331 91.926 94.726 14.820
-129.141 90.416 95.173 15.349
-126.455 97.720 95.181 15.660
-124.663 102.847 94.367 14.793
---
-91.464 35.285 93.030 11.591
-91.824 39.011 92.999 13.319
-92.398 43.364 93.369 13.688
-97.777 33.975 93.254 13.488
-96.569 45.367 93.431 13.695
-102.257 37.425 93.159 13.177
-104.977 37.291 92.962 12.527
-106.588 37.680 93.459 12.837
-107.416 41.162 93.451 12.904
-107.757 46.392 93.253 13.138
-109.007 49.560 93.629 13.324
-115.495 40.905 93.230 11.936
-116.950 44.807 94.024 11.750
-120.005 42.830 93.155 11.770
-117.877 53.762 93.477 12.383
-122.927 49.048 93.419 11.993
-123.318 53.014 93.328 11.850
-121.762 60.568 93.247 13.941
-124.814 61.025 92.880 13.152
-128.568 57.873 93.354 12.839
-130.421 58.708 92.872 12.770
-130.457 63.110 92.976 13.072
-131.370 64.894 92.568 13.576
-132.392 68.188 93.756 13.326
-134.571 68.254 93.157 14.000
-130.202 78.830 92.831 14.660
-131.258 80.087 92.829 13.280
-129.284 86.881 93.225 14.084
-131.049 86.829 92.161 15.234
-122.438 98.079 92.662 16.241
-123.617 99.986 92.847 16.108
-125.469 103.363 92.272 13.891
---
-90.898 37.233 91.193 12.914
-91.396 40.919 91.858 13.784
-92.297 44.236 91.329 12.437
-98.962 33.002 91.338 12.000
-98.238 39.823 91.044 12.704
-101.948 39.047 90.950 12.107
-102.225 43.600 90.706 12.096
-103.279 46.052 90.693 12.830
-107.395 41.527 90.674 12.699
-109.571 44.560 90.874 12.612
-109.436 48.934 91.913 12.905
-113.278 47.193 90.968 13.132
-115.514 47.337 90.631 13.364
-118.430 47.586 90.967 12.223
-120.420 49.880 91.189 11.690
-121.671 51.181 90.394 12.856
-123.673 52.562 90.657 12.895
-125.506 54.342 90.830 12.859
-126.669 55.588 90.827 12.447
-128.802 57.504 90.267 11.897
-129.094 60.853 91.040 13.190
-130.514 62.942 90.174 13.295
-134.508 57.926 90.717 13.194
-131.744 68.244 90.753 13.485
-133.816 69.671 91.365 13.845
-128.550 80.767 91.054 15.367
-129.461 81.165 90.362 14.828
-132.982 81.324 90.900 14.592
-128.037 91.045 91.044 14.251
-121.783 100.095 90.969 16.283
-125.217 100.818 90.680 14.136
-123.824 103.040 90.055 16.008
---
-91.422 34.861 89.389 12.787
-91.637 40.131 88.711 12.910
-94.365 39.741 89.016 13.349
-96.646 40.472 89.617 13.495
-99.165 38.359 88.579 12.761
