phi std_phi theta std_theta
---
166.925 2.048 116.895 1.797
165.364 2.469 116.912 1.205
164.057 2.363 117.617 1.822
162.979 2.478 118.112 1.932
160.595 2.529 118.109 2.343
159.478 2.498 118.952 1.962
156.845 2.493 119.145 2.112
155.290 2.497 119.793 2.072
153.753 2.494 119.933 2.484
152.036 2.350 120.859 2.152
149.936 3.082 120.541 2.212
147.829 2.341 121.633 2.080
145.560 2.385 121.943 1.821
143.624 2.852 122.023 2.390
140.502 2.177 121.992 2.452
138.518 2.259 122.313 2.128
136.514 2.690 122.772 2.283
134.216 2.239 123.070 1.968
131.290 2.174 122.759 2.272
128.909 1.861 122.764 2.254
126.815 1.888 123.400 2.607
124.048 1.691 122.351 2.557
121.870 1.672 123.066 2.146
119.435 1.963 123.092 2.063
117.276 1.467 122.798 2.501
114.590 1.357 122.402 2.200
112.410 1.131 122.350 1.996
110.245 1.262 121.989 2.486
107.955 0.973 121.790 2.515
105.976 0.888 121.608 2.275
103.637 0.879 120.918 2.350
101.659 0.814 120.518 2.437
---
166.736 2.395 115.176 2.109
165.063 2.040 115.243 2.086
164.220 2.469 116.010 2.298
163.289 2.705 116.837 1.883
160.902 2.695 116.808 2.051
159.111 2.910 117.523 2.506
157.740 2.650 118.063 1.758
155.403 2.766 118.064 2.324
153.927 2.471 118.520 2.450
151.703 2.747 118.946 2.233
150.027 2.439 119.201 2.000
147.994 2.214 119.988 2.636
145.376 2.350 119.884 2.163
143.291 2.496 120.076 2.307
141.141 2.047 120.621 2.233
139.182 2.295 121.387 2.280
136.392 2.217 120.788 2.522
133.925 2.034 121.437 2.400
131.522 1.934 121.169 2.184
129.007 1.783 121.823 2.642
126.713 1.970 121.532 2.633
124.361 1.923 121.328 2.233
121.322 1.706 120.910 2.198
119.501 1.772 121.051 2.203
116.879 1.486 121.378 2.614
114.956 1.430 121.166 2.451
112.674 1.250 121.043 2.461
110.308 1.263 120.381 2.546
107.874 1.125 120.038 2.476
105.828 1.003 119.617 2.269
103.641 0.721 119.613 2.257
101.681 0.796 119.139 2.164
---
167.441 2.425 114.089 1.674
165.736 2.018 114.070 1.879
163.874 2.247 114.577 2.094
162.453 2.635 114.816 2.219
160.989 2.389 115.503 1.897
159.047 2.310 115.790 2.119
157.548 2.470 116.413 2.270
155.571 2.469 116.586 2.439
153.708 2.650 117.085 2.284
151.753 2.284 117.151 2.428
149.245 2.296 117.876 2.104
147.674 2.057 118.020 2.302
145.544 2.192 118.322 2.655
143.093 2.312 118.619 2.204
140.917 2.456 118.562 2.428
139.237 2.040 119.342 2.599
136.173 2.446 119.700 2.406
134.163 2.490 119.370 2.944
131.222 2.000 119.568 2.535
129.178 2.110 120.281 2.546
126.613 1.718 119.391 2.542
124.572 1.778 119.755 2.389
