phi std_phi theta std_theta
---
-78.863 0.603 120.559 1.027
-76.853 0.633 120.931 1.072
-74.751 0.676 121.270 1.071
-72.701 0.714 121.590 1.035
-70.453 0.763 122.010 1.087
-68.263 0.785 122.218 1.120
-65.978 0.829 122.552 1.085
-63.635 0.885 122.760 1.033
-61.330 0.935 122.933 1.090
-58.916 0.925 123.057 1.093
-56.532 0.966 123.134 1.084
-54.053 1.023 123.243 1.078
-51.683 1.003 123.204 1.081
-49.253 0.989 123.159 1.074
-46.836 1.098 123.067 1.094
-44.464 1.122 122.961 1.079
-42.123 1.104 122.683 1.046
-39.804 1.136 122.563 0.985
-37.557 1.119 122.194 1.011
-35.228 1.132 121.935 0.968
-33.086 1.127 121.590 1.015
-30.994 1.128 121.265 1.028
-28.959 1.068 120.871 0.971
-26.969 1.141 120.516 0.943
-25.109 1.092 120.045 0.901
-23.174 1.086 119.533 0.907
-21.383 1.106 119.187 0.960
-19.656 1.060 118.690 0.938
-18.114 1.000 118.215 0.869
-16.402 1.037 117.724 0.875
-14.963 1.061 117.241 0.902
-13.430 1.005 116.814 0.835
---
-78.853 0.598 118.891 1.044
-76.871 0.634 119.227 1.027
-74.773 0.662 119.709 1.118
-72.727 0.710 119.960 1.087
-70.421 0.729 120.342 1.112
-68.274 0.786 120.491 1.104
-65.971 0.826 120.914 1.101
-63.675 0.848 121.048 1.132
-61.318 0.880 121.159 1.164
-58.910 0.911 121.307 1.125
-56.458 0.981 121.461 1.092
-54.052 1.024 121.536 1.094
-51.681 1.053 121.480 1.118
-49.205 1.052 121.446 1.130
-46.814 1.075 121.340 1.115
-44.476 1.099 121.131 1.064
-42.134 1.076 121.027 1.057
-39.803 1.124 120.823 1.066
-37.566 1.151 120.444 1.038
-35.264 1.135 120.199 1.055
-33.149 1.167 119.909 1.015
-31.019 1.116 119.635 1.027
-28.971 1.154 119.251 1.002
-26.970 1.100 118.769 1.018
-25.036 1.060 118.414 0.975
-23.227 1.087 118.016 0.969
-21.365 1.106 117.554 0.907
-19.648 1.079 117.064 0.922
-18.038 1.068 116.664 0.939
-16.441 1.039 116.164 0.878
-14.936 1.025 115.800 0.956
-13.420 0.972 115.247 0.885
---
-78.835 0.602 117.141 1.073
-76.861 0.646 117.537 1.085
-74.764 0.690 117.891 1.164
-72.681 0.712 118.195 1.132
-70.500 0.713 118.521 1.121
-68.286 0.810 118.811 1.100
-65.991 0.803 119.043 1.117
-63.658 0.873 119.249 1.157
-61.287 0.915 119.434 1.143
-58.918 0.921 119.533 1.113
-56.474 0.995 119.707 1.128
-54.078 0.981 119.676 1.144
-51.638 1.030 119.759 1.104
-49.236 1.070 119.638 1.062
-46.886 1.099 119.589 1.138
-44.409 1.067 119.445 1.066
-42.097 1.138 119.232 1.083
-39.808 1.101 119.039 1.070
-37.489 1.183 118.801 1.087
-35.263 1.182 118.551 1.091
-33.181 1.174 118.106 1.049
-31.038 1.150 117.827 1.047
-29.086 1.124 117.500 1.070
-26.941 1.109 117.107 1.013
-25.028 1.121 116.785 0.997
-23.201 1.145 116.307 0.993
-21.511 1.058 115.883 0.945
-19.696 1.118 115.546 0.973
-17.986 1.023 115.053 0.901
-16.385 1.058 114.596 0.912
-14.928 1.006 114.148 0.950
-13.445 0.985 113.717 0.948
---
