phi std_phi theta std_theta
---
167.538 1.000 116.689 0.881
166.017 0.987 117.128 0.873
164.531 1.017 117.636 0.827
162.918 1.046 118.072 0.923
161.257 1.051 118.601 0.968
159.561 1.062 119.145 0.901
157.816 1.090 119.544 0.971
155.985 1.053 119.956 0.906
154.195 1.077 120.393 0.920
152.174 1.130 120.850 1.006
150.102 1.159 121.239 0.969
148.046 1.085 121.627 1.009
145.961 1.120 122.024 1.027
143.659 1.160 122.213 1.025
141.418 1.153 122.537 1.059
139.072 1.104 122.854 1.003
136.705 1.104 123.077 1.015
134.354 1.026 123.200 1.064
131.909 1.036 123.325 1.131
129.550 1.004 123.434 1.046
127.119 1.008 123.429 1.103
124.620 0.981 123.450 1.119
122.160 1.004 123.270 1.106
119.772 0.918 123.227 1.076
117.365 0.866 123.027 1.107
114.989 0.859 122.847 1.146
112.705 0.786 122.596 1.102
110.456 0.758 122.272 1.115
108.252 0.703 121.955 1.075
106.074 0.681 121.600 1.094
103.967 0.654 121.268 1.022
101.934 0.623 120.838 1.058
---
167.497 1.040 115.134 0.851
166.072 0.978 115.674 0.888
164.578 1.016 116.049 0.893
162.941 1.039 116.541 0.917
161.294 1.074 116.945 0.979
159.576 1.108 117.439 0.954
157.921 1.092 117.901 0.976
156.063 1.094 118.406 0.977
154.156 1.098 118.811 0.981
152.205 1.137 119.216 1.017
150.113 1.120 119.524 1.013
148.026 1.126 119.960 1.018
145.840 1.156 120.266 1.026
143.617 1.157 120.614 1.049
141.435 1.119 120.846 1.022
139.090 1.103 121.144 1.048
136.722 1.097 121.274 1.122
134.350 1.058 121.530 1.037
131.937 1.036 121.596 1.061
129.477 1.031 121.656 1.118
127.057 1.060 121.685 1.108
124.596 0.987 121.653 1.131
122.211 0.945 121.530 1.093
119.713 0.877 121.455 1.093
117.392 0.856 121.304 1.116
115.067 0.832 121.134 1.126
112.720 0.800 120.887 1.128
110.407 0.792 120.610 1.131
108.192 0.737 120.296 1.143
106.023 0.686 119.898 1.066
104.005 0.655 119.673 1.097
101.941 0.631 119.255 1.042
---
167.370 1.014 113.589 0.892
166.011 1.023 114.025 0.939
164.512 0.999 114.518 0.942
162.955 1.090 114.922 0.883
161.266 1.095 115.359 1.024
159.688 1.026 115.774 1.016
157.853 1.093 116.288 1.017
155.920 1.111 116.651 1.032
154.122 1.093 117.109 1.021
152.110 1.116 117.510 1.040
150.116 1.171 117.849 1.022
148.049 1.140 118.226 1.031
145.876 1.141 118.513 1.088
143.656 1.098 118.816 1.044
141.467 1.076 119.103 1.093
139.120 1.111 119.365 1.143
136.741 1.075 119.503 1.102
134.364 1.126 119.626 1.075
131.963 1.102 119.790 1.133
129.471 1.044 119.956 1.171
127.036 1.002 119.872 1.084
124.650 0.966 119.807 1.086
122.204 0.938 119.806 1.148
119.765 0.923 119.676 1.199
117.386 0.862 119.537 1.116
115.020 0.849 119.296 1.173
112.695 0.788 119.119 1.146
110.458 0.775 118.851 1.126
108.204 0.724 118.604 1.119
106.046 0.683 118.273 1.133
103.962 0.660 117.861 1.088
101.927 0.633 117.454 1.131
---
167.456 0.988 112.046 0.898
166.057 1.039 112.498 0.892
164.546 1.062 112.946 0.957
162.979 0.963 113.317 1.003
161.331 1.077 113.783 0.944
159.632 1.082 114.130 0.977
157.849 1.120 114.526 1.035
156.029 1.094 114.947 1.014
154.184 1.128 115.379 1.064
152.250 1.175 115.699 1.077
150.073 1.086 116.031 1.087
147.993 1.097 116.408 1.109
145.912 1.153 116.713 1.081
143.688 1.158 117.019 1.101
141.339 1.154 117.292 1.131
139.082 1.100 117.467 1.123
136.700 1.116 117.720 1.159
134.358 1.143 117.795 1.144
131.907 1.038 117.891 1.143
129.498 1.042 118.013 1.138
127.033 1.013 118.003 1.172
124.645 0.980 117.971 1.160
122.202 0.928 117.954 1.127
119.782 0.899 117.862 1.161
117.433 0.914 117.706 1.185
115.039 0.864 117.502 1.219
112.740 0.818 117.286 1.152
110.429 0.747 117.014 1.107
108.247 0.726 116.818 1.151
106.070 0.706 116.425 1.138
103.951 0.657 116.121 1.127
101.919 0.625 115.718 1.110
---
167.492 0.993 110.398 0.936
166.066 1.060 110.852 0.978
164.470 1.009 111.130 0.939
162.908 1.042 111.538 1.009
161.256 1.127 111.979 1.030
159.583 1.043 112.423 1.049
157.840 1.120 112.782 1.047
156.024 1.105 113.200 1.047
154.163 1.131 113.605 1.129
152.207 1.175 113.865 1.111
150.150 1.117 114.207 1.097
148.033 1.162 114.518 1.125
145.896 1.152 114.821 1.131
143.633 1.184 115.061 1.154
141.343 1.122 115.373 1.132
139.071 1.139 115.533 1.167
136.736 1.113 115.694 1.153
134.348 1.071 115.955 1.225
131.973 1.052 116.013 1.233
129.567 1.064 116.093 1.179
127.023 0.992 116.042 1.164
124.627 0.946 116.120 1.199
122.183 0.931 115.931 1.233
119.802 0.904 115.893 1.299
117.388 0.876 115.748 1.185
115.052 0.824 115.592 1.171
112.708 0.783 115.334 1.218
110.448 0.775 115.207 1.133
108.208 0.712 114.906 1.156
106.063 0.680 114.550 1.123
103.945 0.662 114.293 1.149
101.964 0.603 113.933 1.172
---
167.446 0.965 108.727 0.949
166.071 0.977 109.170 1.005
164.529 1.021 109.546 1.030
162.977 1.012 109.905 1.046
161.293 1.056 110.318 1.059
159.624 1.039 110.586 1.063
157.860 1.116 110.979 1.119
156.023 1.117 111.361 1.101
154.180 1.115 111.722 1.102
152.177 1.111 111.989 1.102
150.084 1.125 112.310 1.167
148.033 1.178 112.590 1.155
145.889 1.140 112.937 1.142
143.699 1.151 113.170 1.162
141.416 1.170 113.417 1.204
139.104 1.101 113.565 1.203
136.697 1.128 113.746 1.226
134.355 1.098 113.888 1.227
131.927 1.047 114.024 1.189
129.500 1.044 114.092 1.255
127.067 1.043 114.071 1.202
124.650 0.961 114.132 1.248
122.141 0.932 113.986 1.208
119.789 0.931 113.932 1.242
117.374 0.872 113.780 1.179
115.051 0.844 113.621 1.225
112.725 0.831 113.419 1.199
110.439 0.784 113.224 1.219
108.237 0.732 112.916 1.206
106.075 0.680 112.643 1.210
103.960 0.633 112.306 1.195
101.950 0.632 112.040 1.153
---
167.506 1.001 107.081 0.967
166.013 1.042 107.373 0.989
164.480 0.969 107.813 1.023
162.910 0.998 108.148 1.079
161.372 1.087 108.434 1.091
159.705 1.098 108.877 1.082
157.824 1.114 109.162 1.066
155.948 1.077 109.491 1.113
154.138 1.156 109.831 1.144
152.199 1.133 110.085 1.134
150.108 1.149 110.365 1.131
148.010 1.095 110.672 1.186
145.930 1.115 110.954 1.161
143.646 1.182 111.228 1.175
141.405 1.084 111.421 1.234
139.087 1.131 111.652 1.241
136.755 1.053 111.793 1.251
134.332 1.092 111.891 1.248
131.888 1.072 111.918 1.248
129.561 1.002 111.984 1.241
127.086 1.006 112.000 1.253
124.634 0.952 112.014 1.209
122.186 0.985 111.965 1.301
119.797 0.900 111.882 1.248
117.451 0.866 111.716 1.246
115.092 0.831 111.574 1.268
112.738 0.806 111.341 1.248
110.440 0.796 111.168 1.210
108.217 0.712 110.903 1.206
106.099 0.700 110.729 1.214
103.956 0.653 110.439 1.232
101.913 0.618 110.122 1.208
---
167.450 0.987 105.444 1.013
166.059 0.995 105.668 1.000
164.441 1.037 106.026 0.964
162.998 1.068 106.311 1.048
161.243 1.066 106.608 1.100
159.585 1.135 106.933 1.097
157.810 1.066 107.208 1.105
156.078 1.163 107.592 1.128
154.205 1.155 107.877 1.137
152.168 1.131 108.126 1.185
150.110 1.176 108.414 1.161
148.018 1.144 108.646 1.212
145.817 1.183 108.855 1.220
143.628 1.162 109.104 1.241
141.484 1.137 109.271 1.255
139.065 1.156 109.534 1.227
136.727 1.112 109.609 1.261
134.348 1.096 109.803 1.293
131.950 1.043 109.768 1.312
129.519 1.062 109.826 1.302
127.101 1.016 109.861 1.273
