phi std_phi theta std_theta
-171.081 2.445 34.530 0.892
-171.675 26.699 32.875 0.941
-127.255 122.362 31.281 0.926
6.869 177.488 29.706 0.903
146.000 97.315 28.151 0.931
169.732 23.505 26.652 0.931
166.227 3.472 25.400 0.972
160.431 3.710 24.200 0.991
154.372 3.812 23.242 1.071
147.579 3.695 22.524 1.147
140.360 3.540 22.169 1.208
132.861 3.223 22.088 1.305
125.661 2.963 22.354 1.396
118.756 2.645 22.815 1.376
112.207 2.336 23.644 1.429
106.210 2.057 24.804 1.465
100.914 1.898 26.069 1.455
96.099 1.708 27.409 1.497
91.920 1.583 28.982 1.483
88.262 1.441 30.597 1.425
85.003 1.309 32.248 1.384
82.070 1.300 33.778 1.300
79.535 1.304 35.391 1.354
77.307 1.210 37.029 1.344
75.369 1.187 38.633 1.240
73.573 1.162 40.161 1.222
71.985 1.122 41.670 1.171
70.555 1.067 43.117 1.157
---
-159.804 1.921 40.124 0.989
-161.392 2.039 38.509 0.931
-163.224 2.283 36.788 0.927
-165.117 2.423 35.175 0.904
-167.463 2.487 33.369 0.918
-170.061 2.806 31.623 0.918
-169.844 33.380 29.840 0.916
-127.453 121.658 28.132 0.914
21.477 175.923 26.421 0.908
141.907 102.005 24.798 0.884
166.796 30.912 23.284 0.947
163.644 4.308 21.999 0.976
156.708 4.141 20.893 1.056
149.074 4.162 20.028 1.079
141.108 3.990 19.548 1.188
132.854 3.750 19.468 1.296
124.552 3.393 19.745 1.394
116.502 2.858 20.460 1.473
109.323 2.537 21.412 1.517
102.837 2.287 22.643 1.494
97.114 2.021 24.034 1.540
92.225 1.844 25.691 1.472
87.959 1.644 27.274 1.503
84.358 1.562 29.066 1.389
81.157 1.514 30.845 1.414
78.365 1.435 32.542 1.384
76.077 1.325 34.326 1.384
73.924 1.286 36.148 1.275
71.979 1.280 37.724 1.216
70.352 1.220 39.351 1.203
68.851 1.163 40.973 1.171
67.582 1.152 42.397 1.127
---
-156.627 2.029 39.344 0.978
-158.054 2.112 37.701 0.953
-159.627 2.245 35.952 0.946
-161.331 2.471 34.222 0.981
-163.574 2.687 32.325 0.961
-165.921 2.852 30.456 0.968
-168.814 3.168 28.519 0.915
-169.103 31.377 26.671 0.932
-126.612 121.313 24.762 0.899
15.548 176.027 22.966 0.945
141.683 100.691 21.275 0.902
166.106 23.370 19.694 0.961
160.271 5.032 18.423 1.008
151.702 5.001 17.446 1.088
141.918 4.648 16.937 1.203
132.315 4.407 16.823 1.359
122.650 3.932 17.159 1.446
113.636 3.256 17.953 1.554
105.636 2.746 19.003 1.560
98.505 2.337 20.550 1.568
92.607 2.169 22.156 1.538
87.669 1.965 23.938 1.515
83.526 1.827 25.880 1.474
79.946 1.710 27.754 1.436
76.959 1.604 29.587 1.416
74.317 1.527 31.454 1.365
