phi std_phi theta std_theta
-173.625 20.350 139.700 0.899
-143.369 103.687 141.021 0.900
-18.526 177.331 142.333 0.862
130.372 119.865 143.663 0.886
171.451 31.422 144.907 0.897
170.741 2.539 146.110 0.935
167.028 2.709 147.267 0.904
163.090 2.674 148.350 0.947
158.576 2.762 149.333 0.978
153.753 2.696 150.095 1.029
148.845 2.661 150.759 1.091
143.529 2.621 151.179 1.149
138.214 2.670 151.489 1.182
132.828 2.459 151.507 1.227
127.206 2.279 151.275 1.313
121.982 2.085 150.906 1.287
116.868 1.978 150.273 1.354
112.027 1.721 149.389 1.355
107.623 1.579 148.526 1.347
103.412 1.435 147.434 1.386
99.610 1.345 146.329 1.359
96.158 1.325 145.128 1.352
92.942 1.208 143.851 1.301
90.042 1.105 142.512 1.286
87.424 1.051 141.210 1.242
85.050 1.018 139.917 1.245
82.793 1.010 138.515 1.197
80.916 0.938 137.201 1.205
---
-164.724 1.694 135.271 0.836
-166.398 1.692 136.567 0.901
-168.157 1.919 137.962 0.909
-169.892 2.001 139.336 0.854
-172.077 2.060 140.722 0.871
-172.657 24.624 142.168 0.924
-147.361 97.285 143.614 0.891
-17.812 177.155 145.035 0.874
132.353 117.210 146.415 0.889
170.483 33.301 147.805 0.906
169.853 2.794 149.075 0.922
165.418 2.868 150.293 0.972
160.980 3.027 151.388 0.988
155.816 3.138 152.289 1.035
150.232 3.239 153.001 1.103
144.434 2.911 153.512 1.138
138.577 2.811 153.748 1.198
132.525 2.768 153.797 1.273
126.437 2.519 153.528 1.295
120.685 2.250 153.125 1.336
115.114 2.045 152.398 1.418
109.931 1.872 151.564 1.386
105.153 1.659 150.506 1.357
100.720 1.536 149.304 1.381
96.911 1.428 147.989 1.373
93.351 1.337 146.602 1.388
90.099 1.317 145.256 1.363
87.209 1.175 143.876 1.355
84.582 1.132 142.391 1.298
82.305 1.045 141.025 1.263
80.110 1.037 139.567 1.191
78.249 1.021 138.065 1.205
---
-162.064 1.803 136.020 0.923
-163.680 1.834 137.348 0.896
-165.220 1.877 138.838 0.930
-167.032 1.943 140.294 0.910
-168.959 2.222 141.804 0.942
-171.304 2.247 143.371 0.905
-171.709 26.562 144.880 0.905
-142.641 103.740 146.437 0.895
-13.838 177.202 147.884 0.906
130.475 118.684 149.447 0.862
167.929 40.701 150.882 0.924
168.340 3.064 152.209 0.932
163.408 3.214 153.429 0.985
157.956 3.465 154.461 1.014
151.992 3.411 155.326 1.087
145.478 3.385 155.860 1.126
138.933 3.211 156.173 1.200
132.192 3.028 156.214 1.290
125.447 2.713 155.972 1.367
119.048 2.465 155.417 1.395
112.968 2.223 154.589 1.439
107.428 1.927 153.590 1.454
102.295 1.754 152.399 1.448
97.838 1.654 151.111 1.411
93.650 1.456 149.723 1.444
90.132 1.425 148.208 1.407
86.874 1.300 146.683 1.322
84.023 1.285 145.098 1.367
81.460 1.202 143.624 1.294
79.268 1.151 142.053 1.237
77.214 1.122 140.516 1.281
75.365 1.087 139.026 1.220
---
-159.389 1.734 136.719 0.958
-160.651 1.896 138.113 0.899
-162.234 1.941 139.606 0.923
-163.860 2.037 141.143 0.931
