phi std_phi theta std_theta
---
12.732 1.055 116.852 0.825
14.122 1.086 117.384 0.854
15.601 1.039 117.735 0.923
17.198 0.989 118.257 0.917
18.865 1.120 118.787 0.911
20.606 1.063 119.318 0.929
22.366 1.108 119.662 0.934
24.196 1.127 120.258 0.928
26.168 1.144 120.682 0.989
28.127 1.086 121.075 0.957
30.072 1.142 121.501 1.019
32.281 1.178 121.828 0.996
34.373 1.191 122.224 1.023
36.676 1.145 122.524 1.031
38.967 1.173 122.747 1.046
41.338 1.156 122.942 1.052
43.658 1.109 123.237 1.070
46.078 1.121 123.301 1.100
48.536 1.045 123.522 1.046
50.934 1.022 123.579 1.110
53.385 0.989 123.640 1.094
55.903 0.954 123.516 1.084
58.322 0.933 123.448 1.089
60.760 0.917 123.376 1.090
63.164 0.858 123.099 1.123
65.534 0.807 122.956 1.097
67.854 0.807 122.678 1.156
70.111 0.765 122.451 1.104
72.301 0.721 122.120 1.141
74.463 0.682 121.670 1.079
76.561 0.639 121.216 1.094
78.567 0.588 120.944 1.044
---
12.701 1.061 115.336 0.885
14.147 0.962 115.814 0.887
15.616 1.054 116.310 0.911
17.162 1.059 116.800 0.983
18.766 1.099 117.253 0.899
20.606 1.079 117.678 0.935
22.259 1.120 118.158 0.947
24.257 1.105 118.554 0.972
26.144 1.123 118.968 1.007
28.026 1.150 119.357 1.015
30.163 1.162 119.751 1.078
32.298 1.148 120.142 1.005
34.426 1.188 120.539 1.024
36.674 1.129 120.772 1.084
39.037 1.212 121.047 1.082
41.364 1.126 121.261 1.071
43.635 1.074 121.567 1.096
46.081 1.122 121.700 1.107
48.511 1.088 121.757 1.092
50.965 1.055 121.813 1.092
53.413 1.025 121.846 1.129
55.875 1.029 121.836 1.133
58.319 0.946 121.715 1.127
60.763 0.903 121.620 1.108
63.133 0.893 121.497 1.119
65.524 0.849 121.200 1.112
67.833 0.778 120.975 1.088
70.107 0.775 120.717 1.139
72.339 0.729 120.372 1.107
74.458 0.667 120.010 1.093
76.550 0.693 119.758 1.072
78.634 0.634 119.175 1.083
---
12.591 0.962 113.766 0.945
14.070 1.028 114.285 0.939
15.598 1.045 114.677 1.016
17.279 1.120 115.154 0.948
18.796 1.076 115.578 0.945
20.544 1.166 116.004 0.988
22.409 1.083 116.420 1.008
24.238 1.069 116.829 1.016
26.145 1.128 117.256 1.011
28.130 1.137 117.667 1.078
30.182 1.101 118.059 1.032
32.274 1.178 118.372 1.041
34.442 1.177 118.776 1.056
